Experiment,Class,Index,Top1,Entropy,SSIM
E1_IID,3,5,0.9996614456176758,0.003728480776771903,1.2192685431250726e-05
E1_IID,3,6,0.9997207522392273,0.0031404593028128147,2.0652616961132114e-05
E1_IID,3,7,0.9996943473815918,0.0034047875087708235,1.3873276557187035e-05
E1_IID,3,8,0.999768078327179,0.002655783900991082,2.696372498745359e-05
E1_IID,3,9,0.9997227787971497,0.0031306513119488955,9.538120091593172e-06
E1_IID,4,0,0.9999407529830933,0.0007644629804417491,1.6108099492322996e-05
E1_IID,4,1,0.9999463558197021,0.000697324110660702,1.12652240501526e-05
E1_IID,4,2,0.9999253749847412,0.000939783058129251,1.5618521790337363e-05
E1_IID,4,3,0.9999366998672485,0.0008079295512288809,1.8132143611731687e-05
E1_IID,4,4,0.999947190284729,0.0006862396840006113,1.7538426060458402e-05
E1_IID,4,5,0.9999343156814575,0.0008393246680498123,2.6977398492404475e-05
E1_IID,4,6,0.9999377727508545,0.0007970590959303081,1.4943709417862424e-05
E1_IID,4,7,0.9999352693557739,0.0008267025696113706,1.6983876254610453e-05
E1_IID,4,8,0.9999473094940186,0.0006851015496067703,2.021807379263889e-05
E1_IID,4,9,0.9999426603317261,0.0007416736334562302,1.4479906169507866e-05
E1_IID,5,0,0.9988724589347839,0.01104097068309784,5.722540515574463e-06
E1_IID,5,1,0.9992942810058594,0.00729717593640089,7.383382244520625e-06
E1_IID,5,2,0.9993526339530945,0.006738374941051006,6.536628172702613e-06
E1_IID,5,3,0.9989622831344604,0.010249543003737926,5.94683522354553e-06
E1_IID,5,4,0.9993808269500732,0.006459287367761135,5.6665314608580055e-06
E1_IID,5,5,0.9994518160820007,0.005798581056296825,7.0097061858884316e-06
E1_IID,5,6,0.9992011189460754,0.00816665031015873,6.120426652321554e-06
E1_IID,5,7,0.9995235204696655,0.005108905024826527,5.281900639545726e-06
E1_IID,5,8,0.9993563294410706,0.006698593497276306,6.022856783707268e-06
E1_IID,5,9,0.9990949630737305,0.009073582477867603,5.552495401599485e-06
E1_IID,6,0,0.99869304895401,0.012691214680671692,1.2789525289579706e-05
E1_IID,6,1,0.9990523457527161,0.009505887515842915,2.0507392160983397e-05
E1_IID,6,2,0.9990144968032837,0.009889563545584679,1.061613282063789e-05
E1_IID,6,3,0.9987426400184631,0.01231587678194046,1.2103825152614962e-05
E1_IID,6,4,0.998404324054718,0.015048612840473652,4.206156387876832e-05
E1_IID,6,5,0.9990866184234619,0.00924311950802803,1.3134429846931281e-05
E1_IID,6,6,0.9988266825675964,0.011550502851605415,2.4350581819655702e-05
E1_IID,6,7,0.9990293979644775,0.009761340916156769,3.282566699463433e-05
E1_IID,6,8,0.9992328882217407,0.007776709273457527,1.4628943976397051e-05
E1_IID,6,9,0.9989757537841797,0.010194092057645321,2.277079647448532e-05
E1_IID,7,0,0.9998809099197388,0.0014301813207566738,1.2051300294587243e-05
E1_IID,7,1,0.9998984336853027,0.0012454428942874074,1.5362296702101764e-05
E1_IID,7,2,0.9999215602874756,0.0009780221153050661,9.582349918931012e-06
E1_IID,7,3,0.9999005794525146,0.001210924587212503,2.3870819391068526e-05
E1_IID,7,4,0.9998360872268677,0.0018948426004499197,1.9234763195820336e-05
E1_IID,7,5,0.9998733997344971,0.0015086501371115446,1.3743010405250069e-05
E1_IID,7,6,0.999858021736145,0.001685677096247673,1.566147070267212e-05
E1_IID,7,7,0.9998552799224854,0.0017148099141195416,4.604657209953556e-05
E1_IID,7,8,0.9998288154602051,0.0019774669781327248,1.8277777505979678e-05
E1_IID,7,9,0.9998646974563599,0.00161583605222404,1.2797104734676967e-05
E1_IID,8,0,0.9999560117721558,0.0005809823633171618,5.060636427113287e-06
E1_IID,8,1,0.9999547004699707,0.0005958601832389832,4.094612233890706e-06
E1_IID,8,2,0.9999321699142456,0.0008626962662674487,5.472357100109751e-06
E1_IID,8,3,0.9999586343765259,0.0005480336840264499,5.542069837525364e-06
E1_IID,8,4,0.9999538660049438,0.0006061145686544478,2.374196535978521e-05
E1_IID,8,5,0.9999661445617676,0.0004559548106044531,4.92134242265384e-06
E1_IID,8,6,0.9999688863754272,0.00042162041063420475,4.89093541078125e-06
E1_IID,8,7,0.9999624490737915,0.0005013612098991871,6.63516522504211e-06
E1_IID,8,8,0.9999685287475586,0.00042576773557811975,0.0002205689448593817
E1_IID,8,9,0.999961256980896,0.0005171159282326698,5.118915916968081e-06
E1_IID,9,0,0.9996863603591919,0.0034795119427144527,1.1447110478847891e-05
E1_IID,9,1,0.9998379945755005,0.0019069515401497483,7.865173294463181e-06
E1_IID,9,2,0.9996862411499023,0.0034590084105730057,1.371434560940182e-05
E1_IID,9,3,0.9997243285179138,0.003102882532402873,1.0356608201659997e-05
E1_IID,9,4,0.9997710585594177,0.002613214310258627,7.954798969733906e-06
E1_IID,9,5,0.999747097492218,0.0028707662131637335,9.9893949670448e-06
E1_IID,9,6,0.9996623992919922,0.0037360426504164934,7.737298476569761e-06
E1_IID,9,7,0.9997617602348328,0.0027094127144664526,1.0046178457674268e-05
E1_IID,9,8,0.9997434020042419,0.0029106626752763987,1.1897003110499844e-05
E1_IID,9,9,0.9997829794883728,0.002480144612491131,8.956134283947874e-06
E2_Mild,0,0,0.9999746084213257,0.0003470911760814488,4.85093999896356e-05
E2_Mild,0,1,0.9999743700027466,0.0003513835254125297,6.301431640092556e-05
E2_Mild,0,2,0.9999717473983765,0.00038462330121546984,4.985854332532225e-05
E2_Mild,0,3,0.9999728202819824,0.0003707201685756445,5.435390841950179e-05
E2_Mild,0,4,0.9999712705612183,0.00038924679392948747,6.201738019889723e-05
E2_Mild,0,5,0.9999687671661377,0.0004186882870271802,5.859727392561588e-05
E2_Mild,0,6,0.9999688863754272,0.0004207971505820751,5.7492857548304304e-05
E2_Mild,0,7,0.999968409538269,0.00042665001819841564,5.7352492682891225e-05
E2_Mild,0,8,0.9999639987945557,0.0004802320618182421,4.40234599946879e-05
E2_Mild,0,9,0.999971866607666,0.0003807605244219303,4.380754743887194e-05
E2_Mild,1,0,0.9977312684059143,0.02052948623895645,0.023476462852091227
E2_Mild,1,1,0.9981518387794495,0.017292119562625885,0.055300077741348035
E2_Mild,1,2,0.9979019165039062,0.01919088512659073,0.028974549337904176
E2_Mild,1,3,0.9982821941375732,0.016118332743644714,0.014431124671901212
E2_Mild,1,4,0.9983526468276978,0.015332973562180996,0.0720791887825493
E2_Mild,1,5,0.9979518055915833,0.01890835165977478,0.06368787415546145
E2_Mild,1,6,0.998267650604248,0.016317082569003105,0.03682617131770269
E2_Mild,1,7,0.9984331727027893,0.014708868227899075,0.07474247787804641
E2_Mild,1,8,0.9977438449859619,0.02026793733239174,0.058997117703467127
E2_Mild,1,9,0.9978927969932556,0.019132014364004135,0.07817997934789447
E2_Mild,2,0,0.9998027682304382,0.0022714731749147177,8.390293871629228e-05
E2_Mild,2,1,0.9997696280479431,0.0026271934621036053,6.257901870134642e-05
E2_Mild,2,2,0.9997650980949402,0.0026802122592926025,0.00010372048235364095
E2_Mild,2,3,0.9997455477714539,0.002881105989217758,9.628724453536096e-05
E2_Mild,2,4,0.9997087121009827,0.003259484190493822,9.458116167006063e-05
E2_Mild,2,5,0.999774158000946,0.002579263411462307,0.00011320272035334725
E2_Mild,2,6,0.9997007846832275,0.0033310812432318926,9.010176072028236e-05
E2_Mild,2,7,0.9997196793556213,0.003123424481600523,0.00010283131321234239
E2_Mild,2,8,0.9998028874397278,0.0022832024842500687,6.386541884066826e-05
E2_Mild,2,9,0.9997710585594177,0.00261135445907712,8.080180064399045e-05
E2_Mild,3,0,0.9966217279434204,0.02890106849372387,4.4657822425408594e-05
E2_Mild,3,1,0.9967514276504517,0.027774199843406677,0.00010283782324481876
E2_Mild,3,2,0.9968528151512146,0.027440831065177917,3.090293254471294e-05
E2_Mild,3,3,0.9968165755271912,0.02676520124077797,0.00024313837855436963
E2_Mild,3,4,0.9959108829498291,0.03437449038028717,6.950513279793657e-05
E2_Mild,3,5,0.997232973575592,0.023774053901433945,7.73985550053533e-05
E2_Mild,3,6,0.996667206287384,0.02789054438471794,5.8339056595812975e-05
