Experiment,Class,Image,Top1_Logit,Entropy,SSIM
E7,3,0,0.998183548,0.017012237,0
E7,3,1,0.99761641,0.021712858,0
E7,3,2,0.99723947,0.024694968,0
E7,3,3,0.998259366,0.016376283,0
E7,3,4,0.998437703,0.014875958,0
E7,3,5,0.997799695,0.020196542,0
E7,3,6,0.997803509,0.020135324,0
E7,3,7,0.997432888,0.023181738,0
E7,3,8,0.998428345,0.014954225,0
E7,3,9,0.998457193,0.014706407,0
E7,4,0,0.994980514,0.041347094,0
E7,4,1,0.995038807,0.040759549,0
E7,4,2,0.994434655,0.045187078,0
E7,4,3,0.990476966,0.072048619,0
E7,4,4,0.993306696,0.053471617,0
E7,4,5,0.99218905,0.060796782,0
E7,4,6,0.991380394,0.065960787,0
E7,4,7,0.995015204,0.041080665,0
E7,4,8,0.995004356,0.040955849,0
E7,4,9,0.994111359,0.04733099,0
E7,5,0,0.996902764,0.02521982,0
E7,5,1,0.996398211,0.028654613,0
E7,5,2,0.996765733,0.026370369,0
E7,5,3,0.996385813,0.028810237,0
E7,5,4,0.996360958,0.029110715,0
E7,5,5,0.996255398,0.029421553,0
E7,5,6,0.996639132,0.027089719,0
E7,5,7,0.995954037,0.031697493,0
E7,5,8,0.996406376,0.028781466,0
E7,5,9,0.996745944,0.026011085,0
E7,6,0,0.949202538,0.300398529,0
E7,6,1,0.942910075,0.332768768,0
E7,6,2,0.939651787,0.349379778,0
E7,6,3,0.944086194,0.328710616,0
E7,6,4,0.939854264,0.346398473,0
E7,6,5,0.939627826,0.345673382,0
E7,6,6,0.951209486,0.292881876,0
E7,6,7,0.948885083,0.304426044,0
E7,6,8,0.943851888,0.33056137,0
E7,6,9,0.944375694,0.324490517,0
E7,7,0,0.999309182,0.00712638,0
E7,7,1,0.999235153,0.007823755,0
E7,7,2,0.999489903,0.005423534,0
E7,7,3,0.999529958,0.005035916,0
E7,7,4,0.999284089,0.007353557,0
E7,7,5,0.999209881,0.008046993,0
E7,7,6,0.999348223,0.006761006,0
E7,7,7,0.999378443,0.006481028,0
E7,7,8,0.999389052,0.006381856,0
E7,7,9,0.999343216,0.006821581,0
E7,8,0,0.994756103,0.043163605,0
E7,8,1,0.995571494,0.037261482,0
E7,8,2,0.994854689,0.04251587,0
E7,8,3,0.995852709,0.035084218,0
E7,8,4,0.995063722,0.040962227,0
E7,8,5,0.995316148,0.039069857,0
E7,8,6,0.994817793,0.042690903,0
E7,8,7,0.995546937,0.037319507,0
E7,8,8,0.994533777,0.044886447,0
E7,8,9,0.994585216,0.044353906,0
E7,9,0,0.977880359,0.136786908,0
E7,9,1,0.977174938,0.138610721,0
E7,9,2,0.978660524,0.129631132,0
E7,9,3,0.975461483,0.145638615,0
E7,9,4,0.974727154,0.150704578,0
E7,9,5,0.976336956,0.142268866,0
E7,9,6,0.977160156,0.139510974,0
E7,9,7,0.976904869,0.139773071,0
E7,9,8,0.975651979,0.145442709,0
E7,9,9,0.977191687,0.139136195,0
E8,0,0,0.703814209,1.236126661,0
E8,0,1,0.706061721,1.231567025,0
E8,0,2,0.722939491,1.177626967,0
E8,0,3,0.708717704,1.221306086,0
E8,0,4,0.716078401,1.197427154,0
E8,0,5,0.718463898,1.19227767,0
E8,0,6,0.72113204,1.180129051,0
E8,0,7,0.70782268,1.226373196,0
E8,0,8,0.712978482,1.21189332,0
E8,0,9,0.718239486,1.193705678,0
E8,1,0,0.905378878,0.49240306,0
E8,1,1,0.912214339,0.462727427,0
E8,1,2,0.914739132,0.45284915,0
E8,1,3,0.912433326,0.457974553,0
E8,1,4,0.913518965,0.457064986,0
E8,1,5,0.915967584,0.44755286,0
E8,1,6,0.915424526,0.44844225,0
E8,1,7,0.92499125,0.40642345,0
E8,1,8,0.912948191,0.45683372,0
E8,1,9,0.912121713,0.460303754,0
E8,2,0,0.519107997,1.670214653,0
E8,2,1,0.49556154,1.72550869,0
E8,2,2,0.500339389,1.713261604,0
E8,2,3,0.500775278,1.715552092,0
E8,2,4,0.498990953,1.717152119,0
E8,2,5,0.502231181,1.711230516,0
E8,2,6,0.505502939,1.702394247,0
E8,2,7,0.510892391,1.690581203,0
E8,2,8,0.515373826,1.678515196,0
E8,2,9,0.491786748,1.737937927,0
E8,3,0,0.809289992,0.804352403,0
E8,3,1,0.814946055,0.788606405,0
E8,3,2,0.800474465,0.833058596,0
E8,3,3,0.810426056,0.800920427,0
E8,3,4,0.817266166,0.77812618,0
E8,3,5,0.814839602,0.787700176,0
E8,3,6,0.801139772,0.833463669,0
E8,3,7,0.806722522,0.813066959,0
E8,3,8,0.818702757,0.774171293,0
E8,3,9,0.821234643,0.7615574,0
E8,4,0,0.641801059,1.257919312,0
E8,4,1,0.637509704,1.27407372,0
E8,4,2,0.636492372,1.2776649,0
E8,4,3,0.633131325,1.274993896,0
E8,4,4,0.636415005,1.262242794,0
E8,4,5,0.635059357,1.25410974,0
E8,4,6,0.643366396,1.250039458,0
E8,4,7,0.630229235,1.290904522,0
E8,4,8,0.632353425,1.294157982,0
E8,4,9,0.632242322,1.289218664,0
E8,5,0,0.231663778,1.560528517,0
E8,5,1,0.223416373,1.584296703,0
E8,5,2,0.228127986,1.506812096,0
E8,5,3,0.229711562,1.510627985,0
E8,5,4,0.237571344,1.553604007,0
E8,5,5,0.216252595,1.499696016,0
E8,5,6,0.222759426,1.521491766,0
E8,5,7,0.240698218,1.614851832,0
E8,5,8,0.229715616,1.598359823,0
E8,5,9,0.228309408,1.610026479,0
E8,6,0,0.926144361,0.402093291,0
E8,6,1,0.924686015,0.406841815,0
E8,6,2,0.925307989,0.404696047,0
E8,6,3,0.926743805,0.399918854,0
E8,6,4,0.922804236,0.415573448,0
E8,6,5,0.924241602,0.407891572,0
E8,6,6,0.927456141,0.395127952,0
E8,6,7,0.924589157,0.40789029,0
E8,6,8,0.920721889,0.425317436,0
E8,6,9,0.923155129,0.414137542,0
E8,7,0,0.904871941,0.495686084,0
E8,7,1,0.905057728,0.49721384,0
E8,7,2,0.905680656,0.494901329,0
E8,7,3,0.90576905,0.493534029,0
E8,7,4,0.905516624,0.4953731,0
E8,7,5,0.902302504,0.508511841,0
E8,7,6,0.909569144,0.478276908,0
E8,7,7,0.908575535,0.482100517,0
E8,7,8,0.909354329,0.477459878,0
E8,7,9,0.908720791,0.481193483,0
E8,8,0,0.761372924,1.042993069,0
E8,8,1,0.759471357,1.050704837,0
E8,8,2,0.7611233,1.046142578,0
E8,8,3,0.762417197,1.039937973,0
E8,8,4,0.768010497,1.022687554,0
E8,8,5,0.757129729,1.059246778,0
E8,8,6,0.76784569,1.022025943,0
E8,8,7,0.762436569,1.042585135,0
E8,8,8,0.761801124,1.043810606,0
E8,8,9,0.766972482,1.026090503,0
E8,9,0,0.832781434,0.756177187,0
E8,9,1,0.839021385,0.738639712,0
E8,9,2,0.835015774,0.754555821,0
E8,9,3,0.833889484,0.756993413,0
E8,9,4,0.833237767,0.758834064,0
E8,9,5,0.833097517,0.762270689,0
E8,9,6,0.833466172,0.759706438,0
E8,9,7,0.828192055,0.777671754,0
E8,9,8,0.835903943,0.752322555,0
E8,9,9,0.836841822,0.744221807,0
